"E100, Куркумин (Curcumin)",Машбух
"E100(i), Не указано",Машбух
"E100(ii), Не указано",Машбух
"E101, Рибофлавины (Riboflavins)",Синтетическое-машбух; микробиологическое-машбух
"E101(i), Рибофлавин (Riboflavin)",Синтетическое-машбух; микробиологическое-машбух
E101(ii) Натриевая соль рибофлавин 5-фосфат,Синтетическое-машбух; микробиологическое-машбух
E101(iii) Не указано,Синтетическое-машбух; микробиологическое-машбух
E102 Тартразин (Tartrazine),машбух
"E103 Алканин, Алканет",Машбух
E104 Желтый хинолиновый (QUINOLFNE YELLOW),Машбух
E105 Не указано,Макрух
E106 Не указано,Макрух
E107 Не указано,Макрух
E110 Желтый «солнечный закат» FCF (Sunset yellow FCF),Машбух
E111 альфа-нафтол оранжевый,Макрух
E120 Кармины (Carmines),Харам
E121 Не указано,Макрух
"E122 Азорубин, Кармуазин (Azorubine)",Машбух
E123 Амарант,Машбух
"E124 Понсо 4R, Пунцовый 4R (Ponceau 4R)",Машбух
E125 Не указано,Халяль
E126 Не указано,Макрух
E127 Эритрозин,Машбух
E128 Не указано,Макрух
E129 Красный очаровательный АС (Allura Red AC),Халяль
E130 Не указано,Макрух
E131 Синий патентованный V (Patent Blue V),Машбух
E132 Индигокармин (Indigotine),Машбух
"E133 Синий блестящий FCF, бриллиантовый голубой FCF (Brilliant Blue FCF)",Халяль
E134 Не указано,Макрух
E140 Хлорофиллы и хлорофиллины (Chlorophylls and chlorophyllins),Машбух
Хлорофиллы (Chlorophylls),Машбух
Хлорофиллы (Chlorophylls),Машбух
E141 Медные комплексы хлорофиллов и хлорофиллинов (Copper complexes of chlorophylls and chlorophyllins):,Машбух
E141(i) Медные комплексы хлорофиллов (Сopper complexs of chlorophylls),Машбух
E141(ii) Медные комплексы хлорофиллинов (Сopper complexs сhlorophyllins),Машбух
E 142 Зеленый S (Green S),Халяль
E143 Зеленый прочный FCF (Fast green FCF),Халяль
"E150 Не указано
",Халяль
E150a Сахарный колер I простой (Caramel I - Plain),Халяль
"E150b Сахарный колер II, полученный по «щелочно-сульфитной» технологии (Caramel II - Caustic sulphite process)",Халяль
"E150c Сахарный колер III, полученный по «аммиачной» технологии (Caramel III - Ammonia process)",Халяль
"E150d Сахарный колер IV, полученный по «аммиачно-сульфитной» технологии (Caramel IV - Ammonia-sulphite process)",Халяль
"E151 Черный блестящий PN, бриллиантовый черный PN (Brilliant black BN)",Халяль
E152 Не указано,Макрух
E153 Уголь растительный (Vegetable carbon) краситель,Халяль
E154 Не указано,Макрух
E155 Коричневый НТ (Brown HT) краситель,Машбух
E160a Каротины (Carotenes),Машбух
E160a(i) Бета-каротин синтетический,Машбух
E160a(ii) экстракт натурального каротина,Машбух
E160a(iii) Не указано,Машбух
E160a(iv) Не указано,Машбух
"E160b Аннато, биксин, норбиксин (Annatto, bixin, norbixin)",Халяль
E160b(i) Не указано,Халяль
E160b(ii) Не указано,Халяль
"E160c Экстракт паприки, капсантин, капсорубин (Paprika extract, capsanthin, capsorbin )",Халяль
E160c(i)  Не указано,Халяль
E160c(ii) Не указано,Халяль
E160d Ликопин (Lycopene),Натуральное-машбух; Микробилогическое-машбух
E160d(i) Не указано,Машбух
E160d(ii)  Не указано,Машбух
E160d(iii) Не указано,Машбух
E160e бета-апо-8'-Каротиновый альдегид (C30) (Beta-apo-8'-carotenal (C 30)),Машбух
"E160f бета-апо-8'-Каротиновой кислоты (C30) этиловый эфир (Вeta- 
 apo-8'-carotenoic acid (С30) of ethyl ester)",Машбух
E161a Не указано,Макрух
E161b Лютеин (Lutein),Машбух
E161b(i) Не указано,Макрух
E161b(ii)  Не указано,Макрух
E161b(iii)  Не указано,Макрух
E161c Не указано,Макрух
E161d Не указано,Макрух
E161e Не указано,Макрух
E161f Не указано,Макрух
E161g Кантаксантин (Canthaxanthin),Машбух
E161h Не указано,Макрух
E161h(i) Не указано,Макрух
E161h(ii) Не указано,Макрух
E161i Не указано,Макрух
E161j Не указано,Растительное-машбух; Микробиологическое-машбух; Синтетическое-халяль
E162 Красный свекольный (Вeet red),Машбух
E163 Антоцианы (Anthocyanins),Машбух
E163(ii)  Не указано,Машбух
E163(iii)  Не указано,Машбух
E163(iv) Не указано,Машбух
E163(v)   Не указано,Машбух
E163(vi)  Не указано,Машбух
E163(vii)  Не указано,Машбух
E163(viii)  Не указано,Машбух
E163(ix)  Не указано,Халяль
E163(x)  Не указано,Машбух
E164 Не указано,Макрух
E165 Не указано,Макрух
E166 Не указано,Макрух
E170 Карбонат кальция (Calcium carbonate),Халяль
E170(i) Не указано,Халяль
E170(ii) Не указано,Халяль
E171 Диоксид титана (Titanium dioxide),Халяль
E172 Оксиды и гидроксиды железа (Iron oxides and hydroxides),Халяль
E172(i) Не указано,Халяль
E172(ii) Не указано,Халяль
E172(iii) Не указано,Халяль
E173 Не указано,Халяль
E174 Серебро (Silver),Халяль
E175 Золото (Gold),Халяль
E176 Не указано,Макрух
E176(i) Не указано,Макрух
E176(ii) Не указано,Макрух
E176(iii) Не указано,Макрух
E180 Не указано,Машбух
"E181 Танины пищевые (Tannins, food grade)",Халяль
E182 Не указано,Халяль
E200 Сорбиновая кислота (Sorbic acid) консервант,Халяль
E201 Сорбат натрия (Sodim sorbate) консервант,Халяль
E202 Сорбат калия Potassium sorbate),Халяль
E203 Сорбат кальция (Calcium sorbate),Халяль
E209 Не указано,Макрух
E210 Бензойная кислота (Benzoic acid),Халяль
E211 Бензоат натрия (Sodium benzoate),Халяль
E212 Бензоат калия (Potassium benzoate),Халяль
E213 Бензоат кальция (Calcium benzoate),Халяль
E214 пара-гидроксибензойной кислоты этиловый эфир (Ethyl-p-hydroxybenzoate),Машбух
"E215 пара-гидроксибензойной кислоты этилового эфира натриевая соль (Sodium ethyl p-hydroxybenzoate
)",Халяль
E216 Не указано,Машбух
E217 Не указано,Макрух
E218 пара-гидроксибензойной кислоты метиловый эфир (Methyl p-hydroxybenzoate),Халяль
E219 пара-гидроксибензойной кислоты метилового эфира натриевая соль (Sodium methyl p-hydroxybenzoate),Халяль
E220 Диоксид серы (Sulphur dioxide),Халяль
E221 Сульфит натрия (Sodium sulphite),Халяль
E222 Гидросульфит натрия Sodium hydrogen sulphite),Халяль
E223 Пиросульфит натрия (Sodium metabisulphite),Халяль
E224 Пиросульфит калия (Potassium metabisulphite),Халяль
"E225 Сульфит калия (Potassium sulphite) консервант, антиокислитель",Халяль
E226 Сульфит кальция (Calcium sulphite),Халяль
E227 Гидросульфит кальция (Calcium hydrogen sulphite),Машбух
E228 Гидросульфит (бисульфит) калия (Potassium hydrogen sulphite (bisulphite)),Халяль
E230 Дифенил (Diphenyl),Машбух
E231 орто-Фенилфенол (Orto-phenilphenol),Машбух
E232 орто-Фенилфенола натриевая соль (Sodium 0 - phenilphenol),Машбух
"E233 Не указано 
",Макрух
E234 Низин (Nisin),Халяль
"E235 Пимарицин, Натамицин (Pimaricin, natamycin)",Машбух
E236 Муравьиная кислота (Formic АСШ),Халяль
E237 Не указано,Халяль
E238 Не указано,Макрух
E239 Не указано,Халяль
E240 Не указано,Халяль
E241 Не указано,Машбух
E242 Диметилдикарбонат (Dimethyl dicarbonate),Халяль
E243 Не указано,Машбух
E249 Нитрит калия (Potassium nitrite),Халяль
E250 Нитрит натрия (Sodium nitrite),Халяль
E251 Нитрат натрия (Sodium nitrate),Халяль
E252 Нитрат калия (Potassium nitrate),Халяль
E260 Уксусная кислота ледяная (Acetic acid glacial),Халяль
E261 Ацетаты калия (Potassium acetates):,Халяль
E261(i) Ацетат калия (Potassium acetate),Халяль
E261(ii) Диацетат калия (Potassium diacetate).,Халяль
E262 Ацетаты натрия (Sodium acetates):,Халяль
E262(i) Ацетат натрия (Sodium acetate),Халяль
E262(ii) Диацетат натрия (Sodium diacetate).,Халяль
E263 Ацетат кальция (Calcium acetate),Халяль
E264 Ацетат аммония (Ammonium acetate),Халяль
E265 Дегидрацетовая кислота (Dehydroacetic acid),Халяль
E266 Дегидрацетат натрия (Sodium dehydroacetate),Халяль
"E270 Молочная кислота, L-, D- и DL-(Lactic acid, L-, D- and DL-)",Машбух
E280 Пропионовая кислота (Propionic acid),Халяль
E281 Пропионат натрия (Sodium propionate),Халяль
E282 Пропионат кальция (Calcium propionate),Машбух
E283 Пропионат калия (Potassium propionate),Халяль
E284 Не указано,Халяль
E285 Не указано,Халяль
E290 Не указано,Халяль
"E296 Яблочная кислота (Malic acid, DL-)",Халяль
E297 Фумаровая кислота (Fumaric acid),Халяль
"E300 Аскорбиновая кислота, L- (Ascorbic acid, L-)",халяль
E301 Аскорбат натрия (Sodium ascorbate),Халяль
E302 Аскорбат кальция (Calcium ascorbate),Натуральное-машбух; Искусственное-халяль
E303 Аскорбат калия (Potassium ascorbate),Халяль
E304 Не указано,Машбух
E304(i) Аскорбилпальмитат(А8СО11ВТЕ palmitate),Машбух
E304(ii) Acкорбилстеарат (Ascorbyl stearate ),Машбух
E305 Не указано,Машбух
"E306 Токоферолы, концентрат смеси (Mixed tocopherols concenterate)",Машбух
E307 альфа-Токоферол (Alpha-tocopherol),Машбух
E307a Не указано,Машбух
E307b Не указано,Машбух
E307c Не указано,Машбух
E308 гамма-Токоферол синтетический (Syntetic gamma - tocopherol),Машбух
E309 дельта-Токоферол синтетический (Syntethic delta-tocopherol),Машбух
E310 Пропилгаллат (Propil gallate),Халяль
E311 Октилгаллат (Octyl gallate),Халяль
E312 Додецилгаллат (Dodecyl gallate),Машбух
E313 Не указано,Макрух
E314 Гваяковая смола (Guaiac resin),халяль
E315 Изоаскорбиновая (эриторбовая) кислота (Erythorbic acid),Халяль
E316 Изоаскорбат натрия (Sodium erythorbate),Халяль
E317 Не указано,Макрух
E318 Не указано,Халяль
E319 трет-Бутилгидрохинон (Tertiary-butylhydroquinone),Халяль
E320 Бутилгидроксианизол (Butylated hydroxyanisole),Машбух
"E321 Бутилгидрокситолуол, «Ионол» (Butylated hydroxytoluene)",Машбух
"E322 Лецитины, фосфатиды (Lecithins)",Халяль
E322(i) Не указано,Халяль
E322(ii) Не указано,Халяль
E322(iii) Не указано,Халяль
E323 Не указано,Халяль
E324 Не указано,Машбух
E325 Лактат натрия (Sodium lactate),Машбух
E326 Лактат калия (Potassium lactate),Машбух
E327 Лактат кальция (Calcium lactate),Машбух
E328 Лактат аммония (Ammonium lacate),Машбух
"E329 Лактат магния, DL- (Magnesium lacate, DL-)",Машбух
E330 Лимонная кислота (Citric acid),Халяль
E331 Цитраты натрия (Sodium citrates):,Халяль
E331(i) Цитрат натрия 1-замещенный (Sodium dihydrogen citrate),Халяль
"E331(ii) Цитрат натрия 2-замещенный (Disodium monohydrogen citrate),",Халяль
E331(iii) Цитрат натрия 3-замещенный (Trisodium citrate),Халяль
E332 Цитраты калия (Potassium citrates):,Халяль
E332(i) Цитрат калия 1-замещенный (Potassium dihydrogen citrate),Халяль
E332(ii) Цитрат калия 3-замещенный (Tripotassium citrate).,Халяль
E333 Цитраты кальция (Calcium citrates),Машбух
E333(i) Не указано,Халяль
E333(ii) Не указано,Халяль
E333(iii) Не указано,Халяль
"E334 Винная кислота, L(+)- (Tartaric acid (L(+)-)",Машбух
E335 Тартраты натрия (Sodium tartrates):,Машбух
"E335(i) Тартрат натрия 1-замещенный (Monosodium tartrate),",Машбух
E335(ii) Тартрат натрия 2-замещенный (Disodium tartrat),Машбух
E336 Тартраты калия (Potassium tartrates):,Машбух
"E336(i) Тартрат калия 1-замещенный (Monopotassium tartrate),",Машбух
E336(ii) Тартрат калия 2-замещенный (Dipotassium tartrate),Машбух
E337 Тартрат калия-натрия (Sodium potassium tartrate),Машбух
E338 орто-Фосфорная кислота (Orthophosphoric acid),Халяль
E339 Фосфаты натрия (Sodium phosphates):,Машбух
E339(i) орто-Фосфат натрия 1-замещенный (Monosodium orthophosphate),Машбух
"E339(ii) орто-Фосфат натрия 2-замещенный (Disodium orthophosphate),",Машбух
E339(iii) орто-Фосфат натрия 3-замещенный (Trisodiumorthophosphate),Машбух
E340 Фосфаты калия (POTASSIUM PHOSPHATES):,Машбух
"E340(i) орто-Фосфат калия 1-замещенный (Monopotassium orthophosphate),",Машбух
"E340(ii) орто-Фосфат калия 2-замещенный (Dipotassium orthophosphate),",Машбух
"E340(iii) орто-Фосфат калия 3-замещенный (Tripotassium orthophosphate),",Машбух
E341 Фосфаты кальция (Calcium phosphates):,Машбух
E341(i) орто-Фосфат кальция 1-замещенный (Monocalcium orthophosphate),Машбух
E341(ii) Не указано,Машбух
E341(iii)  орто-Фосфат кальция 3-замещенный (Tricalcium orthophosphate),Машбух
E342 Фосфаты аммония (AMMONIUM PHOSPHATES):,Машбух
"E342(i)  орто-Фосфат аммония однозамещенный (Monoammonium orthophosphate),",Машбух
E342(ii)  орто-Фосфат аммония двузамещенный (Diammonium orthophosphate).,Машбух
E343 Фосфаты магния (Magnesium phosphates):,Машбух
"E343(i)  орто-Фосфат магния 1-замещенный (Monomagnesium orthophosphate),",Машбух
E343(ii)  (ii) орто-Фосфат магния 2-замещенный (Dimagnesium orthophosphate),Машбух
E343(iii)  орто-Фосфат магния 3-замещенный (Trimagnesium orthophosphate),Машбух
"E344 Не указано 
",Макрух
"E345 Не указано 
",Халяль
"E349 Не указано 
",Макрух
E350 Малаты натрия (Sodium malates),Халяль
E350(i)  Малат натрия 1-замещенный (Sodium hydrogen malate),Халяль
E350(ii)  Малат натрия (Sodium malate).,Халяль
E351 Малаты калия (Potassium malate):,Халяль
E351(i)  Малат калия 1-замещенный (Potassium hydrogen malate),Халяль
E351(ii)  Малат калия (Potassium malate),Халяль
E352 Малаты кальция (Calcium malates):,Халяль
"E352(i)  Малат кальция 1-замещенный (Calcium hydrogen malate),",Халяль
E352(ii)  малат кальция (Calcium malate),Халяль
E353 мета-Винная кислота ( Metatartaric acid),Машбух
E354 Тартрат кальция (Calcium tartrate),Машбух
E355 Адипиновая кислота (Adipic acid),Халяль
E356 Адипаты натрия (Sodium adipate),Машбух
E357 Адипаты калия (Potassium adipate),Машбух
E359 Адипаты аммония (Ammonium adipates),Машбух
E363 Янтарная кислота (Succinic acid),Халяль
E364 Не указано,Халяль
E364(i) Не указано,Халяль
E364(ii) Не указано,Халяль
E365 Фумараты натрия (Sodium fumarates),Халяль
E366 Не указано,Халяль
E367 Не указано,Халяль
E368 Не указано,Халяль
E370 Не указано,Халяль
E375 Не указано,Халяль
E380 Цитраты аммония (Ammonium citrates),Халяль
E381 Цитраты аммония-железа (Ferric ammonium citrate),Халяль
E383 Не указано,Машбух
E384 Изопропилцитратная смесь (Isopropyl citrates),Машбух
E385 Этилендиаминтетраацетат кальция-натрия (Calcium disodium EDTA),Халяль
E386 Этилендиаминтетраацетат динатрий (Disodium ethylene-diamine-tetra-acetate),Халяль
E387 Оксистеарин (Oxystearin),Халяль
E388 Не указано,Халяль
E389 Не указано,Халяль
E390 Не указано,Макрух
E391 Не указано,Макрух
E392 Экстракты розмарина (Extract of rosemary),Машбух
E399 Не указано,Халяль
E400 Альгиновая кислота (Alginic acid),Халяль
E401 Альгинат натрия (Sodium alginate),Халяль
E402 Альгинат калия (Potassium alginate),Халяль
E403 Альгинат аммония (Ammonium alginate),Халяль
E404 Альгинат кальция (Calcium alginate),Машбух
E405 Пропиленгликольальгинат (Propylene glycol alginate),Халяль
E406 Агар (Agar),Халяль
"Е407 Каррагинан и его натриевая, калиевая, аммонийная соли, включая фурцеллеран (Carrageennan and its Na, К, NH4 salt (includes furcellaran)",Машбух
Е407а Каррагинан из водорослей Euchema (Carrageenan pes-processed  euchema seaweed),Машбух
Е408 Не указано,Халяль
Е409 Арабиногалактан (Arbinogalactan),Машбух
E410 Камедь рожкового дерева (Carob bean gum),Халяль
E411 Не указано,Машбух
E412 Гуаровая камедь (Guar gum),Халяль
E413 Трагакант камедь (Tragacanth gum),Халяль
E414 Не указано,Халяль
E415 Ксантановая камедь (Xanthan gum),Халяль
E416 Карайи камедь (Karaya gum),Халяль
E417 Тары камедь (Tara gum),Халяль
E418 Геллановая камедь (Gellan gum),Машбух
E419 Не указано,Халяль
E420 Сорбит (Sorbitol),Халяль
E420(i) Сорбит (Sorbitol),Халяль
E420(ii) Сорбитовый сироп (Sorbitol syrup),Халяль
E421 Маннит (Mannitol),Халяль
E422 Глицерин (Glycerol),Машбух
E423 Не указано,Халяль
E424 Не указано,Машбух
E425 Конжак (Конжаковая мука)(КОШАС (Konjac flour):,Халяль
"E425(i) Конжаковая камедь (Konjac gum),",Халяль
E425(ii) Конжаковый глюкоманнан (Konjac glucomanne),Халяль
E426 Гемицеллюлоза сои (Soybean hemicellulose),Халяль
E427 Камедь кассии (Cassia gum),Машбух
E429 Не указано,Машбух
E430 Полиоксиэтилен (8) стеарат (Polyoxyenthylene (8) stearate),Машбух
E431 Полиоксиэтилен (40) стеарат (Polyoxyethylene (40) stearate),Машбух
"E432 Полиоксиэтилен (20) сорбитан монолаурат, Твин 20 (Polyoxyethylene sorbitan monolaurate (polysorbate 20)",Машбух
"E433 Полиоксиэтилен (20) сорбитан моноолеат, Твин 80 (Polyoxyethylene sorbitan monooleate)",Машбух
"E434 Полиоксиэтилен (20) сорбитан моно-пальмитат, Твин 40 (
Polyoxyethylene sorbitan monopalmitate (polysorbate 40)
",Машбух
"E435 Полиоксиэтилен (20) сорбитан моностеарат, Твин 60 (Polyoxyethylene sorbitan monostearate)",Машбух
E436 Полиоксиэтилен (20) сорбитан три-стеарат (Polyoxyethylene sorbitan tristearate),Машбух
E440 Пектины (Pectins),Машбух
E441 Желатин,Машбух
E442 Фосфатидиловой кислоты аммонийные соли (фосфатиды аммония) (Ammonium salts of phosphatidic acid),Машбух
E443 Не указано,Халяль
E444 Сахарозы ацетат изобутират (Sucrose acetate isobutyrate),Халяль
E445 Эфиры глицерина и смоляных кислот (Glycerol esters of wood rosins),Халяль
E445(i) Не указано,Халяль
E445(ii) Не указано,Халяль
E445(iii) Не указано,Халяль
E446 Не указано,Халяль
E450 Пирофосфаты (Diphosphates):,Машбух
"E450(i) Дигидропирофосфат натрия (Disodium diphosphate),",Машбух
"E450(ii) Моногидропирофосфат натрия (Trisodium diphosphate),",Машбух
E450(iii) Пирофосфат натрия (Tetrasodium diphosphate);,Машбух
"E450(iv) Дигидропирофосфат калия (Dipotassium diphosphate),",Машбух
"E450(v) Пирофосфат калия (Tetrapotassium diphosphate),",Машбух
"E450(vi) Пирофосфат кальция (Dicalcium diphosphate),",Машбух
E450(vii) Дигидропирофосфат кальция (Calcium dihydrogen diphosphate).,Машбух
E450(viii) Не указано,Машбух
E450(ix) Не указано,Машбух
E451 Трифосфаты (TRIPHOSPHATES):,Машбух
"E451(i) Трифосфат натрия (5-замещенный) (Pentasodium triphosphate),",Машбух
E451(ii) Трифосфат калия (5-замещенный) (Pentapotassium triphosphate),Машбух
E451(iii) Не указано,Машбух
